artist,album,track,id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence
Travis Scott,JACKBOYS,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,7h0d2h0fUmzbs7zeFigJPn,0.491,0.0992,153.131,0.0346,0.0567,0.0,4,0.559,2,244874,-6.406,0.114
Travis Scott,JACKBOYS,JACKBOYS,62zKJrpbLxz6InR3tGyr7o,0.13,0.111,123.342,0.0336,0.9,0.82,1,0.413,0,46837,-25.166,0.0676
Travis Scott,JACKBOYS,GANG GANG,6uJONCdr2rC65BNmCnTBWK,0.6,0.353,123.017,0.301,0.071,0.0,4,0.859,7,244761,-4.63,0.568
Travis Scott,JACKBOYS,HAD ENOUGH (feat. Quavo & Offset),7LGWmZaoS7jZJ5tEi9EcDi,0.789,0.129,147.957,0.108,0.253,0.0,4,0.75,2,157133,-4.578,0.673
Travis Scott,JACKBOYS,OUT WEST (feat. Young Thug),6gi6y1xwmVszDWkUqab1qw,0.591,0.196,139.864,0.225,0.0104,0.0,4,0.802,8,157712,-4.895,0.309
Travis Scott,JACKBOYS,WHAT TO DO? (feat. Don Toliver),4AO1XhrgJczQ9bNVxdfKQe,0.594,0.115,118.037,0.0312,0.0695,1.46e-05,4,0.643,9,250142,-5.191,0.195
Travis Scott,JACKBOYS,GATTI,40mjsnRjCpycdUw3xhS20g,0.676,0.163,143.477,0.344,0.135,0.0,4,0.594,2,181145,-5.808,0.472
Travis Scott,ASTROWORLD,STARGAZING,7wBJfHzpfI3032CSD7CE2m,0.789,0.189,150.007,0.044,0.00947,4.05e-06,4,0.487,8,270715,-3.69,0.0564
Travis Scott,ASTROWORLD,CAROUSEL,7KZ5MMVgBVox9ycroB2UrI,0.403,0.22,95.387,0.209,0.229,0.0,5,0.428,5,180183,-5.914,0.133
Travis Scott,ASTROWORLD,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,0.73,0.124,155.008,0.222,0.00513,0.0,4,0.834,8,312820,-3.714,0.446
Travis Scott,ASTROWORLD,R.I.P. SCREW,4SZepBIPDRwPaHIjAKwRDb,0.609,0.111,74.946,0.291,0.389,1.6e-05,4,0.607,0,185610,-5.978,0.556
Travis Scott,ASTROWORLD,STOP TRYING TO BE GOD,1xYpVRspgaLxdJLOTQkTjg,0.567,0.135,150.009,0.0628,0.221,0.0,4,0.588,4,338438,-3.738,0.113
Travis Scott,ASTROWORLD,NO BYSTANDERS,6OaVWaGfhXn70ZJfdVcabn,0.811,0.411,147.045,0.0712,0.0204,0.0,4,0.731,1,218284,-3.225,0.426
Travis Scott,ASTROWORLD,SKELETONS,6NMtzpDQBTOfJwMzgMX0zl,0.686,0.375,148.054,0.0367,0.00146,0.0,4,0.46,0,145588,-5.948,0.252
Travis Scott,ASTROWORLD,WAKE UP,20MuVazoNMv6xjKPnRFOxG,0.645,0.163,149.07,0.0963,0.192,0.0,4,0.741,11,231964,-5.116,0.488
Travis Scott,ASTROWORLD,5% TINT,11kDth1aKUEUMq9r1pqyds,0.481,0.241,140.0,0.0487,0.173,0.0,4,0.712,4,196138,-5.415,0.062
Travis Scott,ASTROWORLD,NC-17,6BJbOXDlgVAXSaq6wYFYT2,0.763,0.368,136.052,0.0519,0.0678,0.0,4,0.804,2,156886,-5.48,0.0585
Travis Scott,ASTROWORLD,ASTROTHUNDER,4MXhiYIRDMGAuvZc5IFTwC,0.46,0.111,151.901,0.0661,0.142,4.81e-05,4,0.7,4,142969,-8.111,0.286
Travis Scott,ASTROWORLD,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,0.554,0.116,128.047,0.0409,0.283,3.4e-06,4,0.785,0,150043,-6.571,0.144
Travis Scott,ASTROWORLD,CAN'T SAY,27a1mYSG5tYg7dmEjWBcmL,0.708,0.118,147.98,0.0547,0.201,0.0,4,0.702,10,198408,-5.366,0.713
Travis Scott,ASTROWORLD,WHO? WHAT!,4KYS9GK68yeuUJ8vJfPxrq,0.731,0.0731,140.001,0.0566,0.0462,0.0,4,0.834,10,176720,-5.603,0.681
Travis Scott,ASTROWORLD,BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN,0.628,0.114,140.958,0.05,0.0531,0.0,4,0.763,11,190557,-5.85,0.193
Travis Scott,ASTROWORLD,HOUSTONFORNICATION,58TaFP5j5i9swOf584yon2,0.723,0.158,160.042,0.0836,0.0985,0.0,4,0.689,0,217828,-4.052,0.288
Travis Scott,ASTROWORLD,COFFEE BEAN,6vnfObZ4Ys70SBAtti1xZ9,0.582,0.207,95.004,0.125,0.0862,0.00681,4,0.81,5,209116,-5.098,0.503
Travis Scott,"Huncho Jack, Jack Huncho",Modern Slavery,7J6bnDDitOwfelaJNixHhL,0.733,0.297,133.966,0.165,0.00186,0.0,4,0.765,4,148560,-3.509,0.495
Travis Scott,"Huncho Jack, Jack Huncho",Black & Chinese,628Ueb4sRiXApObhcU9iPU,0.844,0.119,159.108,0.0956,0.00389,0.00879,4,0.668,1,172017,-4.151,0.33
Travis Scott,"Huncho Jack, Jack Huncho",Eye 2 Eye,4vwfOiyWxXeEdx4ejAJgdx,0.65,0.104,146.015,0.148,0.00122,0.0,4,0.818,2,190679,-4.328,0.163
Travis Scott,"Huncho Jack, Jack Huncho",Motorcycle Patches,7g7raxdQpiLZT7aOlib4S1,0.657,0.0995,162.867,0.113,0.0158,0.0,4,0.868,8,191410,-4.853,0.436
Travis Scott,"Huncho Jack, Jack Huncho",Huncho Jack,5vuiHi3QYbwcm1OKJOYnrf,0.574,0.156,136.982,0.0435,0.011,0.0,4,0.793,5,199227,-3.509,0.0601
Travis Scott,"Huncho Jack, Jack Huncho",Saint,7foypmc7KZyU716Yv63BPe,0.648,0.0967,150.058,0.0543,0.009,0.0,4,0.866,1,140793,-3.675,0.0798
Travis Scott,"Huncho Jack, Jack Huncho",Go,4RgoqOBE34Q6zZj8K7RUAx,0.898,0.309,135.057,0.042,0.32,4.93e-05,4,0.755,5,156530,-0.777,0.576
